Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
nc,71886886,1,"Thursday, November 15, 2012 14:02:02 UTC",37.8043,-122.1922,1.5,8.50,24,"San Francisco Bay area, California"
ci,15245609,0,"Thursday, November 15, 2012 13:58:01 UTC",33.5910,-116.6323,1.2,14.10,52,"Southern California"
nc,71886871,0,"Thursday, November 15, 2012 13:55:31 UTC",38.8237,-122.7932,1.1,3.60,15,"Northern California"
nc,71886856,0,"Thursday, November 15, 2012 13:27:51 UTC",38.6175,-122.8015,1.2,12.50, 9,"Northern California"
nc,71886846,0,"Thursday, November 15, 2012 13:00:56 UTC",36.7445,-121.0952,1.5,5.00,16,"Central California"
ak,10600745,1,"Thursday, November 15, 2012 12:48:59 UTC",59.4648,-154.8230,2.6,202.40,13,"Southern Alaska"
ak,10600740,1,"Thursday, November 15, 2012 12:25:52 UTC",58.9277,-153.9494,1.9,9.00, 8,"Kodiak Island region, Alaska"
ak,10600726,2,"Thursday, November 15, 2012 11:50:10 UTC",57.5542,-142.8660,3.7,10.00,24,"Gulf of Alaska"
nc,71886796,0,"Thursday, November 15, 2012 11:45:33 UTC",37.6427,-118.9503,1.0,7.20,15,"Long Valley area, California"
ak,10600718,1,"Thursday, November 15, 2012 11:39:42 UTC",61.7516,-149.6304,1.6,5.00, 7,"Southern Alaska"
nc,71886786,1,"Thursday, November 15, 2012 11:38:14 UTC",37.1123,-119.2365,2.3,26.70,20,"Central California"
ci,15245593,0,"Thursday, November 15, 2012 11:37:59 UTC",33.6625,-116.7003,1.1,16.80,46,"Southern California"
us,c000dszb,D,"Thursday, November 15, 2012 11:22:22 UTC",52.4852,173.3539,5.6,30.00,524,"Near Islands, Aleutian Islands, Alaska"
ak,10600699,1,"Thursday, November 15, 2012 10:55:16 UTC",57.6737,-154.5602,2.8,37.40, 9,"Kodiak Island region, Alaska"
us,c000dsz5,4,"Thursday, November 15, 2012 10:40:27 UTC",15.2304,-93.1956,4.3,74.20,67,"offshore Chiapas, Mexico"
ak,10600692,1,"Thursday, November 15, 2012 10:21:44 UTC",62.3959,-149.0833,2.1,25.40,30,"Central Alaska"
ci,15245561,0,"Thursday, November 15, 2012 10:17:59 UTC",34.3340,-116.8425,1.0,0.70,31,"Southern California"
ak,10600682,1,"Thursday, November 15, 2012 09:37:14 UTC",60.7714,-148.9884,2.8,32.90,48,"Kenai Peninsula, Alaska"
nc,71886716,0,"Thursday, November 15, 2012 09:28:05 UTC",37.6855,-118.9325,1.1,12.90, 9,"Long Valley area, California"
us,c000dsyl,7,"Thursday, November 15, 2012 09:20:23 UTC",18.4069,-100.3734,6.0,60.90,518,"Guerrero, Mexico"
nc,71886701,0,"Thursday, November 15, 2012 09:01:32 UTC",37.6450,-118.9483,1.1,7.30,13,"Long Valley area, California"
nc,71886696,0,"Thursday, November 15, 2012 08:46:19 UTC",37.6443,-118.9493,1.3,8.00,20,"Long Valley area, California"
nn,00393901,1,"Thursday, November 15, 2012 08:26:37 UTC",37.1842,-117.8413,1.7,7.10,14,"Central California"
ci,15245545,0,"Thursday, November 15, 2012 08:25:11 UTC",33.0603,-116.4515,1.3,5.10,43,"Southern California"
us,c000dsye,5,"Thursday, November 15, 2012 08:21:49 UTC",-3.2503,148.1763,5.7,10.00,148,"Bismarck Sea"
us,c000dsy2,9,"Thursday, November 15, 2012 08:01:01 UTC",14.0779,-91.6282,4.8,35.00,273,"offshore Guatemala"
ak,10600651,1,"Thursday, November 15, 2012 07:45:30 UTC",61.6598,-148.1485,1.1,16.00, 6,"Southern Alaska"
nc,71886676,0,"Thursday, November 15, 2012 07:38:52 UTC",37.6433,-118.9508,1.0,6.40,15,"Long Valley area, California"
ci,15245529,0,"Thursday, November 15, 2012 07:33:01 UTC",32.9983,-116.2370,1.7,8.90,75,"Southern California"
ak,10600646,1,"Thursday, November 15, 2012 07:24:53 UTC",57.3229,-156.3310,2.7,122.70,11,"Alaska Peninsula"
ci,15245521,0,"Thursday, November 15, 2012 07:10:56 UTC",33.0645,-116.4568,2.3,4.50,97,"Southern California"
ci,15245513,0,"Thursday, November 15, 2012 06:50:17 UTC",33.6615,-116.7025,1.4,19.20,29,"Southern California"
us,c000dsxl,9,"Thursday, November 15, 2012 06:42:38 UTC",14.2215,-92.3074,4.9,35.20,275,"offshore Guatemala"
nc,71886641,0,"Thursday, November 15, 2012 06:27:54 UTC",39.1467,-123.1607,1.7,4.90, 7,"Northern California"
ci,15245473,0,"Thursday, November 15, 2012 05:12:34 UTC",33.6123,-116.6382,1.8,12.40,29,"Southern California"
nc,71886621,0,"Thursday, November 15, 2012 05:04:25 UTC",37.6462,-118.9508,1.5,7.30,21,"Long Valley area, California"
us,c000dsx2,E,"Thursday, November 15, 2012 04:58:59 UTC",19.1233,145.8164,4.9,124.60,170,"Maug Islands region, Northern Mariana Islands"
ci,15245465,0,"Thursday, November 15, 2012 04:56:04 UTC",36.0045,-118.3628,1.5,2.80,26,"Central California"
ci,15245457,0,"Thursday, November 15, 2012 04:52:57 UTC",34.0190,-116.7492,2.0,13.60,129,"Southern California"
nc,71886601,1,"Thursday, November 15, 2012 04:45:33 UTC",38.0052,-121.8655,2.0,16.40,28,"San Francisco Bay area, California"
pr,12320000,0,"Thursday, November 15, 2012 04:35:35 UTC",17.9470,-65.6733,2.3,18.00, 6,"Puerto Rico region"
ci,15245449,0,"Thursday, November 15, 2012 04:23:04 UTC",33.5918,-116.6342,1.1,14.90,48,"Southern California"
ak,10600612,1,"Thursday, November 15, 2012 04:10:59 UTC",60.3681,-141.2880,1.8,6.90,14,"Southern Alaska"
nc,71886586,0,"Thursday, November 15, 2012 04:09:29 UTC",38.6052,-122.8200,1.6,5.40, 8,"Northern California"
ci,15245441,0,"Thursday, November 15, 2012 03:45:45 UTC",33.0162,-116.4467,1.6,9.80,65,"Southern California"
ak,10600601,1,"Thursday, November 15, 2012 03:39:29 UTC",59.4543,-152.7516,2.5,69.30,20,"Southern Alaska"
ci,15245433,0,"Thursday, November 15, 2012 03:16:13 UTC",34.0765,-118.0903,1.0,1.50,14,"Greater Los Angeles area, California"
ak,10600579,1,"Thursday, November 15, 2012 02:13:49 UTC",63.9580,-148.8093,2.4,0.00,25,"Central Alaska"
nc,71886536,0,"Thursday, November 15, 2012 02:11:24 UTC",40.3180,-123.6733,1.9,24.20,13,"Northern California"
